 ,Label,Min,Max,Angle,Length
1,ARAN_04160_01_1x.bmp,56.24,127.67,-39.12,16.97
2,ARAN_04160_01_1x.bmp,66.56,121.67,-129.23,1.99
3,ARAN_04160_10_rev_1x_paint.bmp,80.91,150.66,-150.30,16.46
4,ARAN_04160_10_rev_1x_paint.bmp,89.34,177.88,121.57,2.05
5,ARAN_04160_11_rev_1x.bmp,58.16,150.24,-72.94,16.64
6,ARAN_04160_11_rev_1x.bmp,63.87,122.33,14.47,2.02
7,ARAN_04160_12_rev_1x.bmp,51.74,86.33,-97.32,16.32
8,ARAN_04160_12_rev_1x.bmp,53.96,90.08,-179.37,1.91
9,ARAN_04160_13_1x.bmp,71.15,251.75,-165.91,16.95
10,ARAN_04160_13_1x.bmp,97.05,176.50,-68.44,2.10
11,ARAN_04160_14_1xC_paint.bmp,82.29,187.47,-169.92,14.76
12,ARAN_04160_14_1xC_paint.bmp,87.81,238.03,-77.09,2.07
13,ARAN_04160_14_1xC_paint.bmp,74.08,255.00,-111.05,15.96
14,ARAN_04160_14_1xC_paint.bmp,72.51,203.07,-10.03,1.93
15,ARAN_04160_14_1xC_paint.bmp,72.44,254.85,-90.57,15.87
16,ARAN_04160_14_1xC_paint.bmp,69.80,183.17,14.55,2.01
17,ARAN_04160_15_1x.bmp,72.26,123.67,-69.22,17.31
18,ARAN_04160_15_1x.bmp,72.37,133.56,17.88,2.05
19,ARAN_04160_22_1x_paint.bmp,86.48,254.86,-122.15,18.52
20,ARAN_04160_22_1x_paint.bmp,92.48,171.25,-22.68,2.29
21,ARAN_04160_25_1x.bmp,87.71,147.33,-57.32,15.87
22,ARAN_04160_25_1x.bmp,91.80,148.83,-146.04,1.86
