 ,Label,Min,Max,Angle,Length
1,CWU_6737_01_rev_2x.bmp,71.94,187.11,-51.49,14.97
2,CWU_6737_01_rev_2x.bmp,100.80,199.67,-138.81,2.68
3,CWU_6737_01_rev_2x.bmp,66.53,181.67,-66.31,13.46
4,CWU_6737_01_rev_2x.bmp,83.84,201.67,-154.80,2.34
5,CWU_6737_02_2xL_paint.bmp,80.80,162.79,-81.44,14.46
6,CWU_6737_02_2xL_paint.bmp,94.23,182.78,-171.03,2.46
7,CWU_6737_02_2xL_paint.bmp,70.27,196.11,72.62,15.19
8,CWU_6737_02_2xL_paint.bmp,82.22,171.17,157.17,2.50
9,CWU_6737_03_rev_2x.bmp,65.09,175.50,-165.96,15.02
10,CWU_6737_03_rev_2x.bmp,73.91,211.50,98.97,2.50
11,CWU_6737_03_rev_2x.bmp,69.57,177.42,111.61,13.73
12,CWU_6737_03_rev_2x.bmp,85.32,210.33,-163.61,2.25
13,CWU_6737_05_1xB_paint.bmp,88.09,186.33,-101.00,13.87
14,CWU_6737_05_1xB_paint.bmp,108.69,192.67,165.26,2.45
15,CWU_6737_05_rev_1xL_paint.bmp,73.87,195.00,-127.63,15.29
16,CWU_6737_05_rev_1xL_paint.bmp,74.51,182.19,149.53,2.46
17,CWU_6737_08_1xT.bmp,89.61,146.43,-85.24,15.21
18,CWU_6737_08_1xT.bmp,85.77,187.12,8.97,2.41
19,CWU_6737_10_1xT_paint.bmp,75.56,172.93,-54.92,12.93
20,CWU_6737_10_1xT_paint.bmp,80.75,157.00,35.54,2.23
21,CWU_6737_11_rev_1xT_paint.bmp,141.07,226.19,-84.66,13.53
22,CWU_6737_11_rev_1xT_paint.bmp,156.19,181.52,6.34,2.36
23,CWU_6737_02_rev_1xL.bmp,63.77,171.06,134.29,14.46
24,CWU_6737_02_rev_1xL.bmp,69.15,175.38,-132.88,2.43
