 ,Label,Min,Max,Angle,Length
1,KAS_GEL_4878_img001_rev.bmp,71.92,143.92,-37.17,14.41
2,KAS_GEL_4878_img001_rev.bmp,73.14,123.88,-124.99,3.07
3,KAS_GEL_4878_img002_rev_paint.bmp,47.40,138.89,-110.82,16.34
4,KAS_GEL_4878_img002_rev_paint.bmp,71.38,154.54,163.07,3.02
5,KAS_GEL_4878_img005_rev_paint.bmp,75.10,140.78,95.46,17.26
6,KAS_GEL_4878_img005_rev_paint.bmp,75.89,127.11,2.29,3.15
7,KAS_GEL_4878_img006_paint.bmp,61.43,138.00,87.35,13.62
8,KAS_GEL_4878_img006_paint.bmp,69.32,132.33,177.71,3.11
9,KAS_GEL_4878_img010_rev.bmp,71.69,137.94,5.19,13.92
10,KAS_GEL_4878_img010_rev.bmp,81.42,131.25,97.77,2.86
11,KAS_GEL_4878_img016_paint.bmp,73.58,125.04,-126.97,14.65
12,KAS_GEL_4878_img016_paint.bmp,72.11,136.17,151.39,3.14
13,KAS_GEL_4878_img019_rev.bmp,74.77,128.08,-107.21,14.97
14,KAS_GEL_4878_img019_rev.bmp,70.55,134.25,163.74,3.06
15,KAS_GEL_4878_img021_1.bmp,69.16,125.48,-39.99,15.27
16,KAS_GEL_4878_img021_1.bmp,71.26,132.38,-126.87,3.11
17,KAS_GEL_4878_img028_1.bmp,56.80,121.88,162.06,13.82
18,KAS_GEL_4878_img028_1.bmp,65.76,123.79,72.35,2.87
19,KAS_GEL_4878_img029_rev.bmp,58.21,125.29,57.35,15.41
20,KAS_GEL_4878_img029_rev.bmp,68.61,106.58,153.43,3.06
21,KAS_GEL_4878_img030_rev.bmp,62.27,122.67,47.29,13.43
22,KAS_GEL_4878_img030_rev.bmp,69.53,120.12,139.90,3.08
23,KAS_GEL_4878_img031_rev.bmp,80.74,142.67,83.35,15.18
24,KAS_GEL_4878_img031_rev.bmp,82.75,144.56,177.51,2.94
25,KAS_GEL_4878_img032_1.bmp,61.31,138.00,-86.63,10.67
26,KAS_GEL_4878_img032_1.bmp,66.50,130.67,-175.24,3.06
27,KAS_GEL_4878_img034_rev.bmp,67.29,126.92,-159.00,15.11
28,KAS_GEL_4878_img034_rev.bmp,65.42,143.58,116.57,3.08
29,KAS_GEL_4878_img038_rev.bmp,61.27,125.42,-32.32,14.70
30,KAS_GEL_4878_img038_rev.bmp,63.12,129.92,-118.81,2.92
31,KAS_GEL_4878_img039_rev.bmp,47.84,120.06,162.90,12.02
32,KAS_GEL_4878_img039_rev.bmp,54.15,119.27,-107.65,2.95
