 ,Label,Min,Max,Angle,Length
1,KAS_L_0103_20180424_1_1x_.bmp,66.84,177.96,-117.58,19.10
2,KAS_L_0103_20180424_1_1x_.bmp,64.80,137.42,150.26,2.05
3,KAS_L_0103_20180424_2_rv_1x.bmp,52.80,122.56,86.78,20.21
4,KAS_L_0103_20180424_2_rv_1x.bmp,54.53,152.52,173.66,2.33
5,KAS_L_0103_20180424_4_rv_1x.bmp,67.04,141.75,-101.45,19.79
6,KAS_L_0103_20180424_4_rv_1x.bmp,77.77,145.44,-10.62,2.00
7,KAS_L_0103_20180424_9_rv_1x_u.bmp,81.29,135.00,158.94,20.00
8,KAS_L_0103_20180424_9_rv_1x_u.bmp,84.02,138.67,-115.20,2.33
9,KAS_L_0103_20180424_10_1x_pnt.bmp,73.14,128.23,170.23,19.36
10,KAS_L_0103_20180424_10_1x_pnt.bmp,80.76,131.10,73.61,2.20
11,KAS_L_0103_20180424_11_rv_1x_pnt.bmp,58.48,123.11,16.63,18.99
12,KAS_L_0103_20180424_11_rv_1x_pnt.bmp,73.53,147.15,100.62,2.11
13,KAS_L_0103_20180424_12_1x.bmp,66.36,118.67,-91.05,20.73
14,KAS_L_0103_20180424_12_1x.bmp,70.02,158.33,180.00,2.06
15,KAS_L_0103_20180424_13_rv_2x_pnt.bmp,59.77,162.00,161.78,20.94
16,KAS_L_0103_20180424_13_rv_2x_pnt.bmp,62.86,145.59,-128.16,2.24
17,KAS_L_0103_20190626_002_rv_1x.bmp,118.58,201.33,-141.40,20.02
18,KAS_L_0103_20190626_002_rv_1x.bmp,140.26,212.67,130.24,2.12
19,KAS_L_0103_20190626_004_1x.bmp,88.22,147.50,-53.62,19.02
20,KAS_L_0103_20190626_004_1x.bmp,95.90,150.17,34.16,2.16
21,KAS_L_0103_20190626_007_1x.bmp,96.32,171.22,105.80,20.35
22,KAS_L_0103_20190626_007_1x.bmp,115.31,162.41,-166.87,1.95
23,KAS_L_0103_20190626_008_1x_rv.bmp,105.18,163.33,-29.44,20.25
24,KAS_L_0103_20190626_008_1x_rv.bmp,107.02,179.33,-123.18,1.98
25,KAS_L_0103_20190626_009_rv_1x.bmp,120.59,156.04,85.01,20.96
26,KAS_L_0103_20190626_009_rv_1x.bmp,102.06,165.89,178.21,2.06
27,KAS_L_0103_20190626_010_1x.bmp,101.20,160.00,85.47,19.13
28,KAS_L_0103_20190626_010_1x.bmp,109.16,179.67,-5.36,2.05
29,KAS_L_0103_20190626_011_1x.bmp,104.13,161.25,0.37,19.69
30,KAS_L_0103_20190626_011_1x.bmp,111.96,175.67,91.74,2.05
31,KAS_L_0103_20190626_012_1x.bmp,104.38,171.58,51.83,19.47
32,KAS_L_0103_20190626_012_1x.bmp,109.10,165.00,-35.75,1.93
33,KAS_L_0103_20190626_014_rv_1x.bmp,92.77,139.67,21.09,19.75
34,KAS_L_0103_20190626_014_rv_1x.bmp,103.17,178.33,108.43,2.19
35,KAS_L_0103_20190626_015_rv_1x.bmp,108.61,186.82,111.84,19.79
36,KAS_L_0103_20190626_015_rv_1x.bmp,104.81,157.67,19.65,1.83
