 ,Label,Min,Max,Angle,Length
1,KAS_MS_4617_05_rev_1x.bmp,50.09,138.67,-81.09,17.08
2,KAS_MS_4617_05_rev_1x.bmp,79.35,125.92,-173.99,2.44
3,KAS_MS_4617_09_rev_1x.bmp,54.76,129.50,-99.15,15.12
4,KAS_MS_4617_09_rev_1x.bmp,86.86,154.72,0.00,2.35
5,KAS_MS_4617_14_rev_1xR.bmp,60.68,130.08,-55.12,15.22
6,KAS_MS_4617_14_rev_1xR.bmp,68.83,142.17,-147.99,2.31
7,KAS_MS_4617_17_1x.bmp,56.33,125.83,-157.31,14.97
8,KAS_MS_4617_17_1x.bmp,69.66,139.33,-64.80,2.30
9,KAS_MS_4617_19_1x.bmp,64.22,144.03,30.00,14.19
10,KAS_MS_4617_19_1x.bmp,76.40,145.67,117.90,2.32
11,KAS_MS_4617_20_rev_1x.bmp,54.25,120.23,-108.28,14.47
12,KAS_MS_4617_20_rev_1x.bmp,57.29,132.08,163.61,2.22
13,KAS_MS_4617_21_rev_1x.bmp,61.92,120.33,-151.77,13.63
14,KAS_MS_4617_21_rev_1x.bmp,70.24,143.50,-56.31,2.26
15,KAS_MS_4617_27_rev.bmp,67.02,136.33,-83.40,15.28
16,KAS_MS_4617_27_rev.bmp,83.58,138.21,6.01,2.35
17,KAS_MS_4617_28_rev.bmp,69.22,119.67,57.09,15.28
18,KAS_MS_4617_28_rev.bmp,74.41,138.04,147.99,2.41
19,KAS_MS_4617_29_1xR.bmp,66.27,133.71,-1.43,15.12
20,KAS_MS_4617_29_1xR.bmp,77.56,136.58,90.00,2.36
21,KAS_MS_4617_29_rev_1xB.bmp,64.64,123.33,48.05,14.96
22,KAS_MS_4617_29_rev_1xB.bmp,88.13,137.00,137.12,2.39
23,KAS_MS_4617_31_rev_1x.bmp,59.16,132.42,-175.95,14.27
24,KAS_MS_4617_31_rev_1x.bmp,63.55,140.81,-86.63,2.18
