 ,Label,Min,Max,Angle,Length
1,KHL_10444_img002Jonath_2x.bmp,0.00,148.79,-20.05,9.89
2,KHL_10444_img002Jonath_2x.bmp,72.23,149.17,-115.46,2.97
3,KHL_10444_img002Jonath_2x.bmp,66.16,151.50,-90.00,10.58
4,KHL_10444_img002Jonath_2x.bmp,76.39,173.67,0.00,2.96
5,KHL_10444_img004_1x.bmp,85.77,161.67,-10.71,9.49
6,KHL_10444_img004_1x.bmp,85.33,173.11,79.70,2.91
7,KHL_10444_img009Jonath_2x.bmp,80.05,155.00,141.13,10.75
8,KHL_10444_img009Jonath_2x.bmp,81.98,143.88,49.90,3.17
9,KHL_10444_img009Jonath_2x.bmp,67.87,149.67,-107.05,9.81
10,KHL_10444_img009Jonath_2x.bmp,75.40,173.27,-14.04,3.07
11,KHL_10444_img014_1x.bmp,83.73,142.58,-141.43,11.88
12,KHL_10444_img014_1x.bmp,83.00,172.50,135.00,3.32
13,KHL_10444_img018_1x.bmp,85.20,154.62,-64.11,9.52
14,KHL_10444_img018_1x.bmp,82.67,146.42,25.46,2.80
15,KHL_10444_img019_2x.bmp,93.57,144.81,-130.31,10.92
16,KHL_10444_img019_2x.bmp,95.83,162.50,145.01,3.08
17,KHL_10444_img019_2x.bmp,89.02,160.89,-85.66,9.89
18,KHL_10444_img019_2x.bmp,93.87,165.42,4.97,2.94
19,KHL_10444_img025_3x.bmp,95.24,155.67,-61.50,10.02
20,KHL_10444_img025_3x.bmp,96.42,141.12,26.57,2.54
21,KHL_10444_img025_3x.bmp,81.64,141.83,-129.51,9.31
22,KHL_10444_img025_3x.bmp,76.12,175.12,144.78,2.73
23,KHL_10444_img025_3x.bmp,85.82,126.33,-66.37,10.97
24,KHL_10444_img025_3x.bmp,85.38,146.17,-161.57,2.86
25,KHL_10444_img026_1x.bmp,83.60,154.29,-94.03,8.97
26,KHL_10444_img026_1x.bmp,75.82,151.88,180.00,2.61
27,KHL_10444_img031_1x.bmp,73.54,144.58,-127.82,10.65
28,KHL_10444_img031_1x.bmp,73.56,176.29,146.31,3.17
29,KHL_10444_img034_3x.bmp,72.54,149.67,-75.44,9.98
30,KHL_10444_img034_3x.bmp,76.22,151.42,-164.05,2.83
31,KHL_10444_img034_3x.bmp,70.90,130.67,-92.79,10.30
32,KHL_10444_img034_3x.bmp,73.56,159.56,-2.39,2.98
33,KHL_10444_img034_3x.bmp,72.35,168.00,-4.90,8.85
34,KHL_10444_img034_3x.bmp,74.33,144.77,-92.60,2.71
35,KHL_10444_img035_2x.bmp,70.06,148.83,-5.38,10.82
36,KHL_10444_img035_2x.bmp,72.09,137.50,-94.97,2.97
37,KHL_10444_img035_2x.bmp,70.99,155.92,173.66,10.24
38,KHL_10444_img035_2x.bmp,75.24,140.92,84.81,2.78
39,KHL_10444_img036_2x.bmp,72.73,145.78,-143.82,10.46
40,KHL_10444_img036_2x.bmp,75.80,137.00,-48.81,2.70
41,KHL_10444_img036_2x.bmp,68.08,145.71,35.63,9.24
42,KHL_10444_img036_2x.bmp,70.20,146.31,-50.53,2.75
43,KHL_10444_img037_rev_1x.bmp,69.10,139.00,-111.29,10.36
44,KHL_10444_img037_rev_1x.bmp,70.86,130.83,164.74,2.83
45,KHL_10444_img037_rev_1x.bmp,67.94,137.83,20.79,10.58
46,KHL_10444_img037_rev_1x.bmp,68.46,146.21,-68.20,2.77
47,KHL_10444_img038_2x.bmp,83.91,157.33,157.50,9.46
48,KHL_10444_img038_2x.bmp,86.88,148.75,66.04,2.56
49,KHL_10444_img038_2x.bmp,83.14,155.90,-110.82,9.59
50,KHL_10444_img038_2x.bmp,80.94,175.52,161.57,2.79
51,KHL_10444_img039_3x.bmp,80.13,159.67,-15.49,10.88
52,KHL_10444_img039_3x.bmp,83.34,149.81,-107.65,2.92
53,KHL_10444_img039_3x.bmp,75.54,161.04,-145.74,10.49
54,KHL_10444_img039_3x.bmp,77.23,152.44,133.26,2.91
55,KHL_10444_img039_3x.bmp,74.36,139.92,10.36,11.85
56,KHL_10444_img039_3x.bmp,74.26,153.33,-75.38,2.92
57,KHL_10444_img040_2x.bmp,75.40,159.44,-43.26,8.80
58,KHL_10444_img040_2x.bmp,77.21,144.54,-136.85,2.78
59,KHL_10444_img040_2x.bmp,67.80,145.52,-68.71,10.37
60,KHL_10444_img040_2x.bmp,68.13,157.50,-160.82,3.09
61,KHL_10444_img043_1x.bmp,74.93,153.67,-114.03,10.21
62,KHL_10444_img043_1x.bmp,79.02,162.73,-22.25,3.01
63,KHL_10444_img043_rev_1x.bmp,76.58,155.67,104.89,10.32
64,KHL_10444_img043_rev_1x.bmp,78.05,152.22,10.30,2.81
65,KHL_10444_img045_2x.bmp,113.97,169.67,-76.45,10.70
66,KHL_10444_img045_2x.bmp,118.46,175.92,8.13,2.72
67,KHL_10444_img045_2x.bmp,78.25,178.83,-67.95,10.80
68,KHL_10444_img045_2x.bmp,78.77,165.42,-156.80,2.88
69,KHL_10444_img045_rev_4x.bmp,83.02,159.50,-24.38,8.78
70,KHL_10444_img045_rev_4x.bmp,82.14,150.67,-115.35,2.65
71,KHL_10444_img037_1x.bmp,69.00,156.22,123.88,10.61
72,KHL_10444_img037_1x.bmp,75.97,134.00,33.69,2.78
