 ,Label,Min,Max,Angle,Length
1,KHL_9943_01a_3x_paint.bmp,68.94,140.19,0.95,20.82
2,KHL_9943_01a_3x_paint.bmp,71.99,170.67,91.66,2.17
3,KHL_9943_01a_3x_paint.bmp,96.11,192.01,18.78,19.96
4,KHL_9943_01a_3x_paint.bmp,84.02,164.50,-67.89,2.18
5,KHL_9943_03a_1xC_paint.bmp,64.97,170.14,39.58,20.76
6,KHL_9943_03a_1xC_paint.bmp,70.94,151.29,133.23,2.16
7,KHL_9943_03a_rev_3x_T_CT_B.bmp,66.67,135.56,-37.64,21.32
8,KHL_9943_03a_rev_3x_T_CT_B.bmp,71.52,156.00,47.39,2.14
9,KHL_9943_03a_rev_3x_T_CT_B.bmp,67.44,146.59,97.90,19.54
10,KHL_9943_03a_rev_3x_T_CT_B.bmp,70.01,140.08,4.40,2.05
11,KHL_9943_03a_rev_3x_T_CT_B.bmp,70.68,189.54,-84.78,21.13
12,KHL_9943_03a_rev_3x_T_CT_B.bmp,73.51,141.21,8.37,2.16
13,KHL_9943_04a_rev_3xL_paint.bmp,65.70,140.94,-22.12,21.08
14,KHL_9943_04a_rev_3xL_paint.bmp,80.21,159.46,61.70,2.33
15,KHL_9943_04a_rev_3xL_paint.bmp,65.31,131.17,127.94,21.00
16,KHL_9943_04a_rev_3xL_paint.bmp,71.63,152.83,-148.89,2.13
17,KHL_9943_04a_rev_3xL_paint.bmp,74.28,149.92,-37.05,20.44
18,KHL_9943_04a_rev_3xL_paint.bmp,79.84,152.50,-128.40,2.13
19,KHL_9943_05_1xB.bmp,90.77,110.29,-69.15,20.18
20,KHL_9943_05_1xB.bmp,85.62,104.92,-161.20,2.08
21,KHL_9943_05a_2x_TR_B.bmp,72.28,131.36,-57.58,20.99
22,KHL_9943_05a_2x_TR_B.bmp,83.11,161.92,-151.65,2.25
23,KHL_9943_05a_2x_TR_B.bmp,69.78,137.61,-131.28,21.07
24,KHL_9943_05a_2x_TR_B.bmp,71.52,165.33,-40.41,2.04
25,KHL_9943_05a_rev_1xC_paint.bmp,76.79,170.90,-29.29,21.63
26,KHL_9943_05a_rev_1xC_paint.bmp,72.25,134.23,-122.40,1.94
27,KHL_9943_06a_2x_paint.bmp,74.33,157.76,-59.78,19.46
28,KHL_9943_06a_2x_paint.bmp,78.78,164.94,-155.19,2.15
29,KHL_9943_06a_2x_paint.bmp,69.19,144.31,-154.10,20.48
30,KHL_9943_06a_2x_paint.bmp,77.91,166.08,-61.53,2.11
31,KHL_9943_07a_1xTR_paint.bmp,70.62,187.48,31.45,23.00
32,KHL_9943_07a_1xTR_paint.bmp,79.91,169.58,-64.93,2.16
