 ,Label,Min,Max,Angle,Length
1,LR_15736_01_1xR.bmp,78.35,120.94,-93.05,6.71
2,LR_15736_01_1xR.bmp,71.17,94.89,-2.76,2.62
3,LR_15736_06_1xR.bmp,70.38,130.00,56.39,6.54
4,LR_15736_06_1xR.bmp,73.12,155.67,-29.98,2.84
5,LR_15736_07_1xBL.bmp,77.41,130.42,-126.25,6.44
6,LR_15736_07_1xBL.bmp,78.96,128.58,138.31,2.70
7,LR_15736_09_1xB.bmp,75.18,109.92,-120.58,6.44
8,LR_15736_09_1xB.bmp,70.93,103.25,152.53,2.66
9,LR_15736_11_2x.bmp,74.11,151.25,73.27,6.02
10,LR_15736_11_2x.bmp,76.18,142.75,167.76,2.67
11,LR_15736_11_2x.bmp,90.39,126.02,0.29,6.24
12,LR_15736_11_2x.bmp,87.75,118.08,87.88,2.55
13,LR_15736_15_1xTR.bmp,78.56,130.56,-31.28,5.82
14,LR_15736_15_1xTR.bmp,79.82,106.04,-123.02,2.50
15,LR_15736_17_2x_T_R.bmp,88.91,119.25,-0.85,6.39
16,LR_15736_17_2x_T_R.bmp,83.62,102.75,-100.30,2.46
17,LR_15736_17_2x_T_R.bmp,99.22,134.28,-80.49,6.10
18,LR_15736_17_2x_T_R.bmp,87.06,105.82,-171.47,2.55
19,LR_15736_18_rev_2xT.bmp,68.65,128.52,51.34,6.65
20,LR_15736_18_rev_2xT.bmp,75.49,149.00,-35.39,2.94
21,LR_15736_18_rev_2xT.bmp,79.42,126.61,-43.03,6.89
22,LR_15736_18_rev_2xT.bmp,81.66,108.89,47.34,2.54
23,LR_15736_19_2x.bmp,59.10,131.10,-115.35,5.96
24,LR_15736_19_2x.bmp,56.11,132.67,154.23,2.70
25,LR_15736_19_2x.bmp,82.77,117.50,21.31,5.95
26,LR_15736_19_2x.bmp,89.11,110.07,-67.93,2.51
27,LR_15736_20_1xL.bmp,74.46,132.21,-29.93,6.00
28,LR_15736_20_1xL.bmp,78.90,121.10,-122.91,2.55
29,LR_15736_20_rev_3xL.bmp,63.00,126.00,-72.30,6.70
30,LR_15736_20_rev_3xL.bmp,69.19,134.27,-163.96,2.62
31,LR_15736_20_rev_3xL.bmp,72.81,113.19,-44.71,5.97
32,LR_15736_20_rev_3xL.bmp,76.36,124.33,-137.43,2.45
33,LR_15736_20_rev_3xL.bmp,72.64,103.50,3.03,5.96
34,LR_15736_20_rev_3xL.bmp,84.20,109.50,92.97,2.43
