 ,Label,Min,Max,Angle,Length
1,LY_11631_03_1xL.bmp,85.04,140.10,-59.16,19.91
2,LY_11631_03_1xL.bmp,79.87,157.50,27.00,1.87
3,LY_11631_04_1x_paint.bmp,72.68,148.82,26.87,21.47
4,LY_11631_04_1x_paint.bmp,76.86,149.40,122.95,2.03
5,LY_11631_08_1xC_paint.bmp,72.98,140.83,-174.34,20.13
6,LY_11631_08_1xC_paint.bmp,73.41,138.94,-88.06,1.86
7,LY_11631_09_4x_paint.bmp,80.10,138.33,-101.24,20.36
8,LY_11631_09_4x_paint.bmp,85.33,160.75,170.25,2.05
9,LY_11631_09_4x_paint.bmp,86.99,133.80,-169.82,21.37
10,LY_11631_09_4x_paint.bmp,94.32,131.33,107.30,2.01
11,LY_11631_09_4x_paint.bmp,68.12,126.06,9.16,21.10
12,LY_11631_09_4x_paint.bmp,73.53,158.97,96.12,2.37
13,LY_11631_09_4x_paint.bmp,79.66,131.17,-131.72,19.75
14,LY_11631_09_4x_paint.bmp,86.48,145.83,144.13,2.53
15,LY_11631_11_1x.bmp,68.92,122.42,19.38,21.07
16,LY_11631_11_1x.bmp,76.15,140.50,107.88,2.05
17,LY_11631_12_1xT.bmp,76.18,142.73,-75.80,21.05
18,LY_11631_12_1xT.bmp,79.50,147.69,12.93,1.97
19,LY_11631_13_1xL.bmp,68.79,125.86,112.70,21.44
20,LY_11631_13_1xL.bmp,78.72,136.48,21.50,2.23
21,LY_11631_14_1xT.bmp,70.78,134.33,-128.78,20.77
22,LY_11631_14_1xT.bmp,83.03,154.25,143.91,2.30
23,LY_11631_15_1xT.bmp,74.43,130.67,-108.40,18.65
24,LY_11631_15_1xT.bmp,84.47,152.33,-22.34,2.49
25,LY_11631_17_1xTL.bmp,79.81,173.02,-113.31,20.48
26,LY_11631_17_1xTL.bmp,82.28,162.50,-29.41,1.99
27,LY_11631_17_2x_R_B.bmp,77.41,130.33,-64.50,20.29
28,LY_11631_17_2x_R_B.bmp,80.74,145.58,25.46,2.20
29,LY_11631_17_2x_R_B.bmp,72.28,161.22,-10.67,20.41
30,LY_11631_17_2x_R_B.bmp,82.80,157.67,73.93,1.93
31,LY_11631_18_1xR.bmp,96.71,148.50,-5.22,19.73
32,LY_11631_18_1xR.bmp,104.57,133.46,85.10,2.21
33,LY_11631_20_1xB.bmp,84.35,137.17,-118.46,21.74
34,LY_11631_20_1xB.bmp,83.15,150.75,159.34,2.05
35,LY_11631_21_1xT.bmp,79.32,128.50,-175.81,20.24
36,LY_11631_21_1xT.bmp,82.00,132.22,91.17,2.06
37,LY_11631_22_1xB.bmp,55.50,132.28,142.68,20.22
38,LY_11631_22_1xB.bmp,74.98,145.75,-130.18,1.85
39,LY_11631_33_2x_C_BR_paint.bmp,74.94,126.15,42.84,22.11
40,LY_11631_33_2x_C_BR_paint.bmp,75.16,144.33,-43.70,1.96
41,LY_11631_33_2x_C_BR_paint.bmp,72.51,125.67,-1.93,21.18
42,LY_11631_33_2x_C_BR_paint.bmp,73.01,142.25,90.94,1.92
