 ,Label,Min,Max,Angle,Length
1,Ordynets_00158_01_2xB_paint.bmp,80.06,150.03,-91.47,21.26
2,Ordynets_00158_01_2xB_paint.bmp,87.78,157.08,177.32,2.02
3,Ordynets_00158_01_2xB_paint.bmp,102.88,185.19,-1.90,19.03
4,Ordynets_00158_01_2xB_paint.bmp,97.62,166.06,83.66,2.28
5,Ordynets_00158_01_rev_1xT_paint.bmp,67.75,252.67,154.96,18.53
6,Ordynets_00158_01_rev_1xT_paint.bmp,109.98,160.12,-116.16,2.00
7,Ordynets_00158_02_1xL_paint.bmp,45.06,183.67,14.01,19.64
8,Ordynets_00158_02_1xL_paint.bmp,121.99,164.71,-77.97,1.96
9,Ordynets_00158_04_3x.bmp,109.23,215.40,-73.89,22.55
10,Ordynets_00158_04_3x.bmp,104.72,178.85,-160.75,2.10
11,Ordynets_00158_04_3x.bmp,85.15,179.04,-178.98,19.53
12,Ordynets_00158_04_3x.bmp,89.34,218.62,-93.92,2.30
13,Ordynets_00158_04_3x.bmp,84.00,169.22,161.05,19.14
14,Ordynets_00158_04_3x.bmp,111.36,199.43,67.47,2.14
15,Ordynets_00158_07_3xB_R_T.bmp,84.94,192.27,-120.99,20.61
16,Ordynets_00158_07_3xB_R_T.bmp,131.14,190.67,-37.21,2.14
17,Ordynets_00158_07_3xB_R_T.bmp,79.96,217.04,86.16,20.71
18,Ordynets_00158_07_3xB_R_T.bmp,134.87,202.19,176.75,1.85
19,Ordynets_00158_07_rev_2x_R.bmp,71.30,190.20,0.95,19.03
20,Ordynets_00158_07_rev_2x_R.bmp,106.90,205.17,88.35,2.18
21,Ordynets_00158_07_rev_2x_R.bmp,101.59,183.07,-110.14,20.13
22,Ordynets_00158_07_rev_2x_R.bmp,99.38,213.78,-22.01,2.13
23,Ordynets_00158_08_1xT.bmp,80.94,181.71,-125.28,19.70
24,Ordynets_00158_08_1xT.bmp,108.85,179.00,147.40,2.14
25,Ordynets_00158_08_rev_3x_T.bmp,57.10,169.36,-71.80,19.36
26,Ordynets_00158_08_rev_3x_T.bmp,58.92,182.67,16.19,2.03
27,Ordynets_00158_08_rev_3x_T.bmp,84.15,164.50,57.34,20.00
28,Ordynets_00158_08_rev_3x_T.bmp,87.77,206.62,-35.64,2.05
29,Ordynets_00158_09_1xR.bmp,73.01,186.00,1.58,19.44
30,Ordynets_00158_09_1xR.bmp,96.94,195.81,-93.43,2.10
