Specimen_ID,Species_ID
ARAN_04160,perlongisporum_2
CWU_6737,longisporum
KAS_GEL_3519,tropicum
KAS_GEL_3550,longisporum
KAS_GEL_3677,inornatum
KAS_GEL_3681,perlongisporum_1
KAS_GEL_4878,tropicum
KAS_GEL_5032,parvisporum
KAS_L_0103,perlongisporum_2
KAS_L_0140,parvisporum
KAS_L_0244,harpagum
KAS_L_1226,parvisporum
KAS_L_1726,harpagum
KAS_MS_4617,longisporum
KHL_10272,robustius
KHL_10360,fusisporum
KHL_10444,inornatum
KHL_10517,cochleum
KHL_10780,robustius
KHL_10813,robustius
KHL_11200,cochleum
KHL_14333,tropicum
KHL_14355,cochleum
KHL_9093,fusisporum
KHL_9569,fusisporum
KHL_9943,perlongisporum_1
KHL_9955,inornatum
LR_15736,harpagum
LY_11631,perlongisporum_1
Ordynets_00158,perlongisporum_2
