Specimen_ID	LaborNr	Species_epithet	ITS_PUBLIC	Species name	LAT_full	LONG_full	LAT_rounded	LONG_rounded	COORD_FROM	Host	Substrate	Habitat	Country	Region.Province.State.District	Subregion.Municipality	Locality.text	Date_of_collecting	Collector	Collector.ID	Specimen.location
KHL_11200	169	cochleum	MN207036	Subulicystidium cochleum	10.7180556	-85.04527778	10.7181	-85.0453	gps	angiosperm tree	hanging stem		Costa Rica	Alajuela	Bijagua	Albergue Heliconias, Sendero Heliconias, 770 m a.s.l	12 Jul 2001	K.-H.Larsson	KHL 11200	GB
KHL_14355	89	cochleum	MN207034	Subulicystidium cochleum						angiosperm tree	dead wood		Madagascar	Anosy	Tolagnaro	Mandena Conservation Zone	11 Mar 2010	K.-H.Larsson	KHL 14355	O:F
KHL_10517	90	cochleum	MN207035	Subulicystidium cochleum	18.0588889	-77.53083333	18.0589	-77.5308	gps	angiosperm	very rotten log	on the ground	Jamaica	Middlesex County	Manchester parish	Marshalls Pen, Sutton Farm	8 Jun 1999	K.-H.Larsson	KHL 10517	GB
KHL_9569	141	fusisporum	MW711727	Subulicystidium fusisporum	18.3238889	-65.81722222	18.3239	-65.8172	gps				Puerto Rico		Municipio Rio Grande	Luquillo Mts, El Verde Research Area, lower part of 16-hectare grid, 345-360 m	28 Jun 1996	K.-H.Larsson	KHL 9569	GB
KHL_9093	96	fusisporum	MH041534	Subulicystidium fusisporum	18.3233333	-65.81722222	18.3233	-65.8172	gps	angiosperm tree	strongly decayed stem	on the ground	Puerto Rico		Municipio Rio Grande	Luquillo Mts, El Verde Research Area, between Field Station and 16-hectare grid, 320-380 m	19 Jun 1996	K.-H.Larsson	KHL 9093	GB
KHL_10360	5	fusisporum	MH041535	Subulicystidium fusisporum	18.3233333	-65.81722222	18.3233	-65.8172	gps		log	on the ground	Puerto Rico		Municipio Rio Grande	Luquillo Mts, El Verde Research Area, between Field Station and 16-hectare grid, 320-380 m	9 Jun 1998	K.-H.Larsson	KHL 10360	GB
KAS_L_1726	62	harpagum	MH041532	Subulicystidium harpagum	-21.34375	55.74102778	-21.3438	55.7410	gps		dead branch		Reunion	Saint-Pierre	Saint-Philippe	Foret de Mare Longue , 495 m	28 Mar 2015	M.Striegel	L 1726a	KAS
LR_15736	37	harpagum	MH041531	Subulicystidium harpagum	11.31701	-74.1063	11.3170	-74.1063	map		dead twig		Colombia	Magdalena		Parque Nacional Tayrona, Estacion de Gairaca, 0-30 m a.s.l	12 Jun 1978	L.Ryvarden	LR 15736	O:F
KAS_L_0244	65	harpagum	MH041533	Subulicystidium harpagum	-21.2080556	55.79805556	-21.2081	55.7981	gps		strongly decayed wood	Pandanuswald	Reunion	Saint-Benoit	Sainte-Rose	Foret de Bois Blanc, 640 m	21 Mar 2013	E.Langer	L 0244	KAS
KHL_10444	3	inornatum	MH041558	Subulicystidium inornatum	18.3002778	-65.79166667	18.3003	-65.7917	gps		wet dead wood	on the ground	Puerto Rico		Municipio Rio Grande	Luquillo Mts, El Yunque, Mount Britton Trail, between upper road and trail head, 760-880 m	11 Jun 1998	K.-H.Larsson	KHL 10444	GB
