Species_ID,Image_ID,Specimen_ID,PC1_symm_mean,PC1_asym_mean,PC2_asym_mean,PC3_asym_mean,PC1_glob_mean,PC2_glob_mean,Length_mean,Width_mean,Length_to_width_ratio_mean,N_spores
perlongisporum_2,ARAN_04160_01_1x,ARAN_04160,-0.1448381,-0.05793879,-0.003178913,-0.01011116,-0.1536227,0.02706291,16.97,1.99,8.53,1
perlongisporum_2,ARAN_04160_10_rev,ARAN_04160,-0.1363653,-0.07752154,0.007483359,-0.006601009,-0.1493717,0.04816034,16.46,2.05,8.03,1
perlongisporum_2,ARAN_04160_11_rev,ARAN_04160,-0.1411934,-0.1013481,0.0107902,-0.007847228,-0.1590387,0.06992616,16.64,2.02,8.24,1
perlongisporum_2,ARAN_04160_12_rev,ARAN_04160,-0.1480104,-0.01755174,-0.009925447,0.001603807,-0.1484669,-0.01410796,16.32,1.91,8.54,1
perlongisporum_2,ARAN_04160_13_1x,ARAN_04160,-0.1431296,-0.07854584,-7.654479e-4,-0.01309232,-0.1561696,0.04786725,16.95,2.1,8.07,1
perlongisporum_2,ARAN_04160_14_1xC,ARAN_04160,-0.1339684,-0.08117300666666666,-0.006406439,-0.014480749999999999,-0.1477755,0.05187466666666667,15.53,2.003333333333333,7.766666666666667,3
perlongisporum_2,ARAN_04160_15_1x,ARAN_04160,-0.1526651,-0.02932749,0.0105222,-7.181755e-7,-0.1553628,-0.002890557,17.31,2.05,8.44,1
perlongisporum_2,ARAN_04160_22_1x,ARAN_04160,-0.1514475,-0.1149544,0.01257927,-0.01417467,-0.1717675,0.0818428,18.52,2.29,8.09,1
perlongisporum_2,ARAN_04160_25_1x,ARAN_04160,-0.1449934,-0.03099154,-0.006550039,-0.009276598,-0.1481717,9.002845e-4,15.87,1.86,8.53,1
longisporum,CWU_6737_01_rev,CWU_6737,-0.09521127,-0.029419565,-0.0046535475,-0.0047125735,-0.099232935,0.009206949999999998,14.215,2.51,5.67,2
longisporum,CWU_6737_02_2xL,CWU_6737,-0.09690283,-0.046352580000000004,-0.007352414,-7.113515e-4,-0.1044672,0.024933510149999998,14.825,2.48,5.98,2
longisporum,CWU_6737_02_rev,CWU_6737,-0.09335221,-0.0110772,-0.008574496,0.01155782,-0.09379213,-0.009695588,15.02,2.5,6.01,1
longisporum,CWU_6737_03_rev,CWU_6737,-0.100559645,-0.042315580000000005,-0.0061630904000000005,-0.0011475004999999998,-0.107158455,0.02034517,13.8,2.35,5.88,2
longisporum,CWU_6737_05_1xB,CWU_6737,-0.08557586,-0.06828049,-0.008326615,-0.01288564,-0.0977724,0.04995395,15.29,2.46,6.22,1
longisporum,CWU_6737_05_rev,CWU_6737,-0.1007164,-0.06746058,-0.002031889,-0.005113053,-0.1125165,0.04487328,15.21,2.41,6.31,1
longisporum,CWU_6737_08_1xT,CWU_6737,-0.108608,-0.06026015,0.00629362,-0.005836666,-0.118688,0.0363874,12.93,2.23,5.8,1
longisporum,CWU_6737_10_1xT,CWU_6737,-0.08467895,-0.03708926,-0.01332298,-0.003602766,-0.09055324,0.0187169,13.53,2.36,5.73,1
longisporum,CWU_6737_11_rev,CWU_6737,-0.07701673,-0.01367831,-0.008948276,-0.001555464,-0.07820694,-0.002986286,14.46,2.43,5.95,1
tropicum,KAS_GEL_3519_04_1x,KAS_GEL_3519,-0.1237483,-0.05430557,0.01731361,0.01794789,-0.1325283,0.02593,15.4,2.22,6.94,1
tropicum,KAS_GEL_3519_07_1x,KAS_GEL_3519,-0.09875323,-0.01332998,-0.02020027,0.001289897,-0.09944344,-0.007600383,12.47,2.13,5.85,1
tropicum,KAS_GEL_3519_08_rev,KAS_GEL_3519,-0.1140447,-0.05539588,6.917328e-4,0.023103,-0.123345,0.02867572,14.2,2.21,6.43,1
tropicum,KAS_GEL_3519_09_rev,KAS_GEL_3519,-0.1297271,-0.05954903,0.015243,0.01243929,-0.1393818,0.03044256,15.03,2.12,7.09,1
tropicum,KAS_GEL_3519_14_1x,KAS_GEL_3519,-0.1004516,-0.02592631,-0.01282257,-0.01004876,-0.1035661,0.00548832,12.85,2.36,5.44,1
tropicum,KAS_GEL_3519_16_rev,KAS_GEL_3519,-0.1037944,-0.04867463,-0.008396469,-0.02036175,-0.1114459,0.0277877,13.16,2.3,5.72,1
tropicum,KAS_GEL_3519_17_1x,KAS_GEL_3519,-0.09995651,-0.008561618,-0.01580082,-0.0134003,-0.09942143,-0.011221449999999999,12.47,2.13,5.85,1
tropicum,KAS_GEL_3519_18_rev,KAS_GEL_3519,-0.1238067,-0.1004513,-0.01682967,-0.005366857,-0.1420232,0.07176838,14.17,2.15,6.59,1
tropicum,KAS_GEL_3519_19_1x,KAS_GEL_3519,-0.1252083,-0.02874077,-0.01402724,-0.01984937,-0.1282294,0.003807003,14.38,2.09,6.88,1
tropicum,KAS_GEL_3519_20_1x,KAS_GEL_3519,-0.1270737,-0.03489995,-0.008059147,0.01328823,-0.1317371,0.00628639,13.85,2.04,6.79,1
tropicum,KAS_GEL_3519_24_rev,KAS_GEL_3519,-0.1293661,-0.08526146,-0.02111106,-0.01578582,-0.1441365,0.05741073,13.9,1.98,7.02,1
longisporum,KAS_GEL_3550_image005_3,KAS_GEL_3550,-0.05985612,0.0351038,0.008352603,0.005694535,-0.05129598,-0.04650606,13,2.54,5.12,1
